logFC	nodeID	t
-0.203	eae3710e-494f-44c0-9519-ebddabf412cc	-0.0967
-0.0601	1e891141-f170-43cd-832b-f790598186a1	0.59
0.653	3d19981c-3d6e-4b32-aca0-598bb0e1cc50	-1.21
0.0902	a620a646-bc82-4700-9db4-a60fe4601a89	0.74
-0.0404	4b551ba0-d459-4325-9a61-49c36e01e08b	0.0238
-0.61	c02e699c-017f-482a-960d-5228e9109f8c	0.982
0.257	f4c36f7d-a154-4d77-98fa-2fee31acd851	0.5747138
-1.6	1757b457-3219-4802-ac2d-21e6fdd2c240	-0.466
-1.37	ae5c3abd-92db-4714-b5e7-1e15ce357141	1.4
-0.00332	a4579c33-b9fa-42e6-a50e-e669ee6a39d8	2.97
0.153	519bb8bb-4c11-4e6a-b8dc-bbd721c00d72	0.132
0.3899928	b2e350de-e7b4-443a-83b4-57e5e97aa317	1.39
-1.92	4ff972cd-e037-4313-8ac1-856fc3f2d7b5	1.6735855
-4.48	91e42021-9e59-4556-8eb7-65f3fd504449	-2.38
-0.153	27b27f3f-50f7-4b2d-8957-959c8a2e8eca	1.5314188
-0.045056	3e74559b-d1e8-4359-9cd8-a6c20c52ff96	-0.843
0.0833	927d3398-282f-44d5-a3a0-6b80bc91cff7	2.19
-0.13	dfe9e073-6b6b-44f0-9651-6a3aa506bd28	-1.33
0.723	da432c90-bdc6-40c7-8780-f67633152c3a	0.0408
-0.24	f32c9ead-8f0e-4ec4-b342-bd636f64b3cb	-0.352
0.545	4a8500e5-b20f-4198-b492-193c4af68a96	-4.8
0.326	af7ddf2e-7e59-4748-97d5-0ea9bbeca724	-1.26
0.182	3fb7319e-de14-4859-a1a9-94d7e4d9ae17	-1.24
0.379	d60a7289-a7e2-4aed-aaca-742d47b78177	1.1
0.583	f32bc2cc-7656-471e-b288-4b20048d7147	-0.424
-1.31	d85b2402-b879-47b3-9bd9-05c502b9038c	0.179
0.284	"kin(p(SFAM:""MAPK Erk1/2 Family"")"	-0.372
-0.223	b8798821-7ad3-4666-a397-b7b799e94eb2	-0.102
-3.75	ddb75537-d3b3-45e0-9d73-dec9a9abf78b	-0.691
0.0025	55b6ff2b-4535-455f-90a0-52b8ccdc7114	-0.546
-0.161	4d6febd6-2034-4e6b-9a27-8ce097fae2bb	1.28
1.09	f722f8b4-f849-4608-9a80-758c4a9d7632	-4.6803073
-0.234	8165a4db-5a3a-4855-a217-70b8bb09acd2	-0.767
-0.0824618	f4a1e3c7-5dc1-4c08-8666-842100db5068	-2.96
-1.87	0dbf8e3f-eb1b-43bb-9e3d-b5c7bc535fb1	-0.2574967
0.223	145eac7c-2620-4156-93a0-7a6c1e1abbbe	0.761
-1.0	1f9bb666-f28f-491a-b3b6-0ce3290cd1a3	1.37
0.25	a83a5ec5-db5b-40c3-a0cb-e782b3c70c69	-1.41
0.7086476	5e56c51c-0626-4832-8b63-9a8a5eb9f2c8	-3.26
-0.84	34709bee-afd4-4ee1-8888-470e348b13e0	0.947
0.0265	c3d4d494-cd8f-4a4e-a6ef-f5bdeb0f8360	-1.5905436
-0.7	bd973310-9cd2-4647-b2a7-f9695f85f371	-0.187
